stop_id,stop_name,stop_lat,stop_lon,stop_address,municipality,accessible
place-fenwy,Fenway,42.345403,-71.104213,"411 Park Dr, Boston, MA 02215",Boston,yes
place-fldcr,Fields Corner,42.300093,-71.061667,"50 Freeman St, Dorchester, MA 02122",Boston,yes
place-forhl,Forest Hills,42.300523,-71.113686,"Washington St and Hyde Park Ave, Jamaica Plain, MA 02130",Boston,yes
place-gover,Government Center,42.359705,-71.059215,"Cambridge St and Court St, Boston, MA",Boston,yes
place-grigg,Griggs Street,42.348545,-71.134949,"Commonwealth Ave and Griggs St, Boston, MA",Boston,no
place-grnst,Green Street,42.310525,-71.107414,"150 Green St, Jamaica Plain, MA",Boston,yes
place-haecl,Haymarket,42.363021,-71.05829,"136 Blackstone St, Boston, MA 02109",Boston,yes
place-harsq,Harvard,42.373362,-71.118956,"1400 Massachusetts Ave, Cambridge, MA",Cambridge,yes
place-harvd,Harvard Avenue,42.350243,-71.131355,"Commonwealth Ave and Harvard Ave, Boston, MA",Boston,yes
place-hsmnl,Heath Street,42.328316,-71.110252,"Heath St and South Huntington Ave, Boston, MA",Boston,yes
place-hwsst,Hawes Street,42.344906,-71.111145,"Beacon St and Hawes St, Brookline, MA",Brookline,no
place-hymnl,Hynes Convention Center,42.347888,-71.087903,"100 Massachusetts Ave, Boston, MA",Boston,no
place-jaksn,Jackson Square,42.323132,-71.099592,"1500 Columbus Ave, Jamaica Plain, MA",Boston,yes
place-jfk,JFK/UMass,42.320685,-71.052391,"599 Old Colony Ave Boston, MA 02127-3805",Boston,yes
place-kencl,Kenmore,42.348949,-71.095169,"Commonwealth Ave and Kenmore St, Boston, MA 02215",Boston,yes
place-knncl,Kendall/MIT,42.362491,-71.086176,"300 Main St, Cambridge, MA 02142",Cambridge,yes
place-kntst,Kent Street,42.344074,-71.114197,"Beacon St and Powell St, Brookline, MA",Brookline,no
place-lake,Boston College,42.340081,-71.166769,"Commonwealth Ave and Lake St, Boston, MA 02135",Boston,yes
